1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
9.21627e-05  0.48674  0.537395  0.520332  0.492494  0.495634  0.494275  0.482058  0.51761  0.482926  0.494718  0.47156  0.498122  0.488729  0.50495  0.476004  0.514906  0.497899  0.506548  0.484263  0.453715  0.501617  0.48088  0.486126  0.496132  0.523137  0.48757  0.512791  0.548282  0.504984  
0.00239622  0.528721  0.556384  0.547876  0.514912  0.512563  0.520598  0.488352  0.523053  0.492372  0.503594  0.487181  0.531626  0.519887  0.516815  0.494818  0.500359  0.490959  0.507983  0.474485  0.491959  0.47085  0.484604  0.501003  0.497927  0.504241  0.509776  0.502306  0.557971  0.503539  
0.00114636  0.512724  0.502497  0.516257  0.496097  0.517462  0.550777  0.509207  0.498746  0.480648  0.497186  0.470083  0.549581  0.504856  0.536701  0.469073  0.497217  0.530186  0.465647  0.497022  0.48697  0.490361  0.493477  0.501595  0.439815  0.478237  0.481492  0.502374  0.549462  0.486439  
0.0292331  0.570888  0.538555  0.574982  0.537321  0.536016  0.564307  0.548306  0.560206  0.523567  0.509746  0.506537  0.510779  0.524443  0.514199  0.506272  0.527283  0.506675  0.484301  0.498509  0.479558  0.532469  0.456879  0.487279  0.456803  0.491985  0.486601  0.495822  0.542485  0.529766  
0.592875  0.907747  0.845254  0.903521  0.846521  0.864832  0.818499  0.826538  0.841398  0.802601  0.796002  0.790815  0.75037  0.772423  0.776557  0.762293  0.742956  0.747662  0.743158  0.769045  0.735617  0.733418  0.715379  0.695935  0.707727  0.694654  0.681159  0.671619  0.669494  0.679805  
0.118154  0.684637  0.679236  0.646524  0.658002  0.643888  0.594128  0.591253  0.568566  0.577435  0.563852  0.552976  0.569048  0.537946  0.535426  0.506978  0.535318  0.518477  0.534245  0.517667  0.519772  0.511299  0.491009  0.512671  0.508782  0.512224  0.470797  0.500179  0.4978  0.492269  
0.0322917  0.58694  0.59703  0.554786  0.589449  0.52113  0.506403  0.496225  0.525238  0.523792  0.517062  0.513914  0.537646  0.529652  0.509251  0.504317  0.495767  0.514273  0.526823  0.513847  0.476875  0.525161  0.497053  0.443354  0.465513  0.501679  0.478838  0.479067  0.528778  0.525415  
0.00957905  0.571087  0.62095  0.561177  0.542369  0.52333  0.468214  0.485964  0.48407  0.496451  0.488267  0.499413  0.501572  0.526628  0.499375  0.499026  0.450193  0.503587  0.53142  0.487436  0.508923  0.481424  0.503254  0.458201  0.486362  0.497586  0.487909  0.516539  0.50209  0.473869  
0.000555418  0.504544  0.543901  0.535675  0.51294  0.499874  0.511025  0.497165  0.51764  0.481362  0.502046  0.481165  0.52413  0.4985  0.52456  0.474254  0.501966  0.506392  0.498692  0.473945  0.469637  0.48548  0.482833  0.493027  0.485271  0.521115  0.490048  0.512863  0.555531  0.492624  
0.583131  0.845547  0.863592  0.850096  0.830429  0.847468  0.801286  0.823151  0.790593  0.791295  0.794032  0.78769  0.798464  0.79699  0.720576  0.750587  0.748371  0.746503  0.746486  0.749093  0.731877  0.736131  0.691052  0.697508  0.702701  0.713386  0.713642  0.713198  0.681472  0.704924  
0.126732  0.685671  0.641602  0.642116  0.651916  0.620649  0.598622  0.605398  0.590447  0.573014  0.576921  0.552517  0.545075  0.542646  0.547542  0.528555  0.50281  0.522316  0.519687  0.506728  0.498681  0.54221  0.481713  0.52035  0.500182  0.509296  0.466905  0.504489  0.524688  0.463033  
0.122796  0.661502  0.632087  0.642223  0.634014  0.637712  0.6001  0.590214  0.585952  0.558  0.563641  0.561553  0.557221  0.546878  0.568927  0.557383  0.543041  0.53169  0.58277  0.529548  0.520541  0.542513  0.516686  0.512306  0.530812  0.54138  0.497372  0.508347  0.518822  0.517391  
